Country Name,Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Mexico,Russian Federation,South Africa,Turkey,United Kingdom,United States
1992,45.47,NULL,53.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51.06,NULL,NULL,NULL,NULL,NULL
1993,44.86,NULL,60.12,NULL,35.5,NULL,NULL,30.82,29.31,35.54,NULL,48.38,59.33,NULL,NULL,NULL
1994,45.92,NULL,NULL,31.39,NULL,32.4,30.01,NULL,NULL,NULL,51.89,NULL,NULL,41.53,36.68,38.9
1995,48.9,33.72,59.57,NULL,NULL,NULL,NULL,NULL,NULL,35.83,NULL,NULL,56.59,NULL,36.83,NULL
1996,49.52,NULL,59.89,NULL,35.7,NULL,NULL,NULL,31.33,NULL,48.54,46.11,NULL,NULL,NULL,NULL
1997,49.11,NULL,59.8,31.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40.79
1998,50.73,NULL,59.61,33.59,NULL,NULL,NULL,NULL,NULL,37.6,48.99,NULL,NULL,NULL,NULL,NULL
1999,49.79,NULL,58.99,NULL,39.23,NULL,NULL,NULL,28.99,NULL,NULL,37.44,NULL,NULL,37.96,NULL
2000,51.06,NULL,NULL,33.65,NULL,31.24,29.44,NULL,NULL,35.99,51.87,NULL,57.77,NULL,NULL,40.15
2001,53.34,34.14,59.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39.6,NULL,NULL,NULL,NULL
2002,53.79,NULL,58.62,NULL,42.59,NULL,NULL,NULL,29.74,NULL,49.68,37.28,NULL,41.4,NULL,NULL
2003,53.54,34.01,58.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38.28,NULL,42.18,NULL,NULL
2004,50.18,NULL,56.88,33.88,NULL,NULL,31.5,33.38,NULL,37.27,46.05,40.77,NULL,41.29,37.63,40.57
2005,49.27,NULL,56.65,NULL,42.48,31.69,NULL,NULL,34.01,NULL,51.11,38.3,NULL,41.73,NULL,NULL
2006,48.26,NULL,55.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48.11,38.69,67.4,39.65,NULL,NULL
2007,47.37,NULL,55.23,33.9,NULL,NULL,31.83,NULL,NULL,NULL,NULL,39.27,NULL,38.44,38.07,41.64
2008,46.27,NULL,54.37,NULL,42.63,NULL,NULL,NULL,34.11,35.45,48.28,34.08,NULL,38.28,NULL,NULL
2009,45.27,NULL,53.87,NULL,NULL,NULL,NULL,33.9,NULL,NULL,NULL,39.69,63.14,38.97,NULL,NULL
2010,44.5,NULL,NULL,33.68,42.06,NULL,30.63,NULL,35.57,35.52,47.16,NULL,NULL,38.79,38.04,41.12
2011,43.57,NULL,53.09,NULL,37.01,NULL,NULL,33.6,38.14,NULL,NULL,NULL,65.02,40.04,NULL,NULL
2012,NULL,NULL,52.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48.07,NULL,NULL,NULL,NULL,NULL
