Year,Total Property Crime,Burglary,Larceny,Auto Theft
1972,7413900,2375500,4151200,887200
1973,7842200,2565500,4347900,928800
1974,9278700,3039200,5262500,977100
1975,10252700,3265300,5977700,1009600
1976,10345500,3108700,6270800,966000
1977,9955000,3071500,5905700,977700
1978,10123400,3128300,5991000,1004100
1979,11041500,3327700,6601000,1112800
1980,12063700,3795200,7136900,1131700
1981,12061900,3779700,7194400,1087800
1982,11652000,3447100,7142500,1062400
1983,10850543,3129851,6712759,1007933
1984,10608473,2984434,6591874,1032165
1985,11102590,3073348,6926380,1102862
1986,11722700,3241410,7257153,1224137
1987,12024709,3236184,7499851,1288674
1988,12356865,3218077,7705872,1432916
1989,12605412,3168170,7872442,1564800
1990,12655486,3073909,7945670,1635907
1991,12961116,3157150,8142228,1661738
1992,12505917,2979884,7915199,1610834
1993,12218777,2834808,7820909,1563060
1994,12131873,2712774,7879812,1539287
1995,12063935,2593784,7997710,1472441
1996,11805323,2506400,7904685,1394238
1997,11558475,2460526,7743760,1354189
1998,10951827,2332735,7376311,1242781
1999,10208334,2100739,6955520,1152075
2000,10182584,2050992,6971590,1160002
2001,10437189,2116531,7092267,1228391
2002,10455277,2151252,7057379,1246646
2003,10442862,2154834,7026802,1261226
2004,10319386,2144446,6937089,1237851
2005,10174754,2155448,6783447,1235859
2006,10019601,2194993,6626363,1198245
2007,9882212,2190198,6591542,1100472
2008,9774152,2228887,6586206,959059
2009,9337060,2203313,6338095,795652
2010,9112625,2168459,6204601,739565
2011,9052743,2185140,6151095,716508
2012,8975438,2103787,6150598,721053
